webnovelId,wn_Title,wn_Genre,wn_DatePublished,wn_DateModified,wn_CopyrightHolder,wn_Description,wn_BestRating,wn_Author,wn_AuthorProfile,wn_NumberOfChapters,wn_NumberOfViews,wn_Synopsis,wn_totalReviewNum,wn_totalScore,wn_translationQuality,wn_updatingStability,wn_storyDevelopment,wn_characterDesign,wn_worldBackGround,wn_bookType
8022472105002805,Super Gene,Sci-fi,2017-11-01T07:29:35.000Z,2023-10-12T07:33:33.000Z,Twelve-Winged Dark Seraphim / WebNovel,"Read Super Gene novel written by the author Twelve-Winged Dark Seraphim on WebNovel, This serial novel genre is sci-fi stories, covering HAREM, WEAKTOSTRONG, ADVENTURE, VIDEOGAME, ROMANCE ✓ Newest updated ✓ All rights reserved",5,Twelve-Winged Dark Seraphim,,3462,142.4M," In the magnificent interstellar era, mankind has finally developed teleport technology, but when trying to teleport, they are not sent to the future, the past, or any land known to men... This mysterious space is called God’s Sanctuary, where lived numerous unknown creatures. Here, humans will make the greatest leap in their evolution to create the most glorious epoch in history. ""Sacred-blood creature black beetle killed. Beast soul of sacred-blood black beetle gained. Eat the meat of sacred-blood black beetle to gain 0 to 10 geno points randomly.""  ",6045,4.33,4.301406,4.357155,4.3182797,4.293962,4.3854427,1
11022733006234505,Lord of Mysteries,Fantasy,2018-12-31T03:05:24.000Z,2024-04-07T01:00:09.000Z,Cuttlefish That Loves Diving / WebNovel,"Read Lord of Mysteries novel written by the author Cuttlefish That Loves Diving on WebNovel, This serial novel genre is fantasy stories, covering MYSTERY, MAGIC, TRANSMIGRATION ✓ Newest updated ✓ All rights reserved",5,Cuttlefish That Loves Diving,,1432,44.0M," With the rising tide of steam power and machinery, who can come close to being a Beyonder? Shrouded in the fog of history and darkness, who or what is the lurking evil that murmurs into our ears? Waking up to be faced with a string of mysteries, Zhou Mingrui finds himself reincarnated as Klein Moretti in an alternate Victorian era world where he sees a world filled with machinery, cannons, dreadnoughts, airships, difference machines, as well as Potions, Divination, Hexes, Tarot Cards, Sealed Artifacts…  The Light continues to shine but mystery has never gone far. Follow Klein as he finds himself entangled with the Churches of the world—both orthodox and unorthodox—while he slowly develops newfound powers thanks to the Beyonder potions. Like the corresponding tarot card, The Fool, which is numbered 0—a number of unlimited potential—this is the legend of ""The Fool.""  ",5474,4.85,4.848557,4.8436246,4.8474607,4.8419805,4.853672,1
8662546605001405,The Legendary Mechanic,Games,2018-11-26T03:05:24.000Z,2024-03-21T10:11:15.000Z,Qi Peijia / WebNovel,"Read The Legendary Mechanic novel written by the author Qi Peijia on WebNovel, This serial novel genre is games stories, covering REINCARNATION, VIDEOGAME, WEAKTOSTRONG ✓ Newest updated ✓ All rights reserved",5,Qi Peijia,,1463,52.1M," What do you do when you wake up and find yourself inside the very game that you love? What do you do when you realize you that you have not only become an NPC - you have even been thrown back in time to before the game even launched! What will happen when our protagonist's two realities coincide? Han Xiao was a professional power leveler before his transmigration. Using his past life's knowledge, Han Xiao sweeps through the universe as he prepares for the arrival of the players. This is definitely not your typical transmigration novel.  ",5751,4.57,4.573292,4.4574857,4.6132846,4.591897,4.6371064,1
8527113906000305,Reincarnation of the Strongest Sword God,Games,2018-08-20T08:17:56.000Z,2024-04-12T08:28:19.000Z,Lucky Old Cat / WebNovel,"Read Reincarnation of the Strongest Sword God novel written by the author Lucky Old Cat on WebNovel, This serial novel genre is games stories, covering REINCARNATION, VIDEOGAME, ACTION ✓ Newest updated ✓ All rights reserved",5,Lucky Old Cat,,2918,129.0M," Starting over once more, he has entered this “living game” again in order to control his own fate. This time, he will not be controlled by others. Previously the Level 200 Sword King, he will rise to a higher peak in this life. Methods to earn money! Dungeon conquering strategies! Legendary Quests! Equipment drop locations! Undiscovered battle techniques! Even the secrets Beta Testers were unknowledgeable of, he knows of them all. Massive wars, life advancement, entering Godhood, sword reaching to the peak; a legend of a man becoming a Sword God has begun.  ",8344,4.2,4.2818794,4.293504,4.081256,4.134468,4.2197986,1
6831850602000905,Library of Heaven&#39;s Path,Eastern,2017-03-01T09:21:47.000Z,2023-10-12T07:33:10.000Z,Heng Sao Tian Ya / WebNovel,"Read Library of Heaven&#39;s Path novel written by the author Heng Sao Tian Ya on WebNovel, This serial novel genre is eastern stories, covering SYSTEM, REINCARNATION, ROMANCE, ACTION, HAREM ✓ Newest updated ✓ All rights reserved",5,Heng Sao Tian Ya,/profile/1999647331,2271,181.3M," Traversing into another world, Zhang Xuan finds himself becoming an honorable teacher. Along with his transcension, a mysterious library appears in his mind. As long as it is something he has seen, regardless of whether it is a human or an object, a book on its weaknesses will be automatically compiled in the library. Thus, he becomes formidable. ""Monarch Zhuoyang, why do you detest wearing your underwear so much? As an emperor, can't you pay a little more attention to your image?""  ""Fairy Linglong, you can always look for me if you find yourself unable to sleep at night. I am skilled in lullabies!"" ""And you, Demon Monarch Qiankun! Can you cut down on the garlic? Are you trying to kill me with that stench?"" This is an incredible story about teachers and students, grooming and guiding the greatest experts in the world!Discord Chat Group: https://discord.gg/ATHVehx  ",17012,4.39,4.488302,4.384787,4.3503995,4.359511,4.3777924,1
24267939206490605,Immortal In The Magic World,Eastern,2022-09-14T09:38:49.000Z,2024-03-19T02:03:46.000Z,Blue And White Ocean / WebNovel,"Read Immortal In The Magic World novel written by the author Blue And White Ocean on WebNovel, This serial novel genre is eastern stories, covering IMMORTAL, MAGIC, TRANSMIGRATION, CHEATS, WIZARDS ✓ Newest updated ✓ All rights reserved",5,Blue And White Ocean,,580,3.3M," Eli was transmigrated to a world of magic and became immortal.He had endless life and could never die.“Huh? I’m talentless? Then, I’ll just train for as long as I need, even if it takes 1000 years. That should be enough for me to become strong.”“The skill is hard to learn? Then, I’ll take a few dozens of years to research it. There’s no way it’s that hard, right?”“What? I can sacrifice my life force to gain spirit power? That’s a bargain!”“The enemy is here? Hell, I’ll just hide for 10000 years. Let’s see if he can outlive me. I’ll come out once he’s dead.”This is the story of an immortal who first struggled to live in the world of magic until he became strong enough to slaughter endless worlds.  ",168,4.1,3.8392856,4.2738094,4.160714,4.077381,4.1369047,1
16732928106157405,Astral Pet Store,Eastern,2020-06-26T03:54:26.000Z,2023-10-12T09:27:18.000Z,Ancient Xi / WebNovel,"Read Astral Pet Store novel written by the author Ancient Xi on WebNovel, This serial novel genre is eastern stories, covering  ✓ Newest updated ✓ All rights reserved",5,Ancient Xi,,1581,12.8M," What’s not to love about my new life after transmigrating into a Pet-centered world?There are mighty creatures that come in all shapes and sizes. They can either be cuddly companions, helpers in your daily life, daring scouts or strong fighters. Or all of the above. Not bad, huh?I have a family, but the fact is completely overshadowed by my younger sister. She thoroughly hates my guts, and she makes sure that I know this. Every. Single. Day.Did I mention that she’s disgustingly talented while I am a bottom feeder? A terribly handsome one at that.I have free rein to run the family business on my own. A small and quaint Pet Store. It should have been great if not for the fact that the previous owner of this body was born with ZERO affinity to handle Astral Pets…It wouldn’t be a proper transmigration without a gimmick or a system to pave my road to greatness, don’t you think? I have one, but I don’t know if I would be better off without it… Welcome to the World of Astral Pets!  ",917,4.25,4.3773174,4.3609595,4.12759,4.080698,4.279171,1
19852661006620705,"Top Tier Providence, Secretly Cultivate for a Thousand Years",Eastern,2021-07-09T07:09:55.000Z,2023-10-12T09:47:37.000Z,Let me laugh / WebNovel,"Read Top Tier Providence, Secretly Cultivate for a Thousand Years novel written by the author Let me laugh on WebNovel, This serial novel genre is eastern stories, covering  ✓ Newest updated ✓ All rights reserved",5,Let me laugh,,1192,9.2M," Being reincarnated in a cultivation world, Han Jue realizes that he can live his life like a video game. He con reroll his cultivation potential and connate providence. So, he spends 11 years rerolling for a good one...[Unparalleled: Immortal beauty, top-notch charm][Destined Sword fanatic: Top-notch Sword Dao aptitude, top-notch Sword Dao learning ability][Unparalleled Movement Technique: Top-notch movement technique aptitude][Descendant of the Immortal Emperor: You will receive an unparalleled cultivation technique and 1,000 superior-grade spirit stones] In pursuit of longevity, Han Jue decides to cultivate in a low-profile manner. A thousand years later, generations of cultivators have become history.That is when the deities start cleansing the mortal world. Han Jue can no longer hide and must do something about it.Then he realizes, deities and gods aren't that powerful after all!  ",512,4.48,4.591797,4.5996094,4.3828125,4.3789062,4.4375,1
7931338406001705,Release That Witch,Fantasy,2017-08-14T09:34:31.000Z,2023-10-12T07:33:30.000Z,Er Mu / WebNovel,"Read Release That Witch novel written by the author Er Mu on WebNovel, This serial novel genre is fantasy stories, covering REINCARNATION, HAREM, ROMANCE, MAGIC, KINGDOMBUILDING ✓ Newest updated ✓ All rights reserved",5,Er Mu,,1501,142.0M," Cheng Yan travels through time, only to end up becoming an honorable prince in the Middle Ages of Europe. Yet this world was not quite as simple as he thought. Witches with magical powers abound, and fearsome wars between churches and kingdoms rage throughout the land.  Roland, a prince regarded as hopeless by his own father and assigned to the worst fief, spends his time developing a poor and backward town into a strong and modern city, while fighting against his siblings for the throne and absolute control over the kingdom. Join Roland as he befriends and allies with witches and, through fighting and even farming, pushes back invaders from the realm of evil.  ",7162,4.61,4.564228,4.5726056,4.639207,4.6158895,4.6495395,1
7176992105000305,The King&#39;s Avatar,Games,2017-05-27T03:20:00.000Z,2024-03-28T06:42:28.000Z,Butterfly Blue / WebNovel,"Read The King&#39;s Avatar novel written by the author Butterfly Blue on WebNovel, This serial novel genre is games stories, covering VIDEOGAME, ACTION, COMEDY, HIGHIQ, GENIUS ✓ Newest updated ✓ All rights reserved",5,Butterfly Blue,/profile/2220443350,1736,133.9M," In the online game Glory, Ye Xiu is regarded as a textbook and a top-tier pro-player. However, due to a myriad reasons, he is kicked from the team. After leaving the professional scene, he finds work in an Internet Cafe as a manager. When Glory launches its tenth server, he who possesses ten years of gaming experience once again throws himself into the game. Bringing with him the memories of his past and an incomplete, self-made weapon, his return along the road to the summit begins! After fighting and scheming, who snatched away my glory? Under the tossing of the wind and rain, my dreams shall still appear as though they had never been shattered. In all its splendor, the path shall never be lost. Before the gazes of millions, this is where I return!  ",10692,4.6,4.5964274,4.5357275,4.6211185,4.6371117,4.619622,1
